"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1311","DataDrivenTesting","Data Driven Testing Using CSV","Sat Dec 21 15:48:53 IST 2024","passed","Sat Dec 21 15:48:54 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","DataDrivenTesting"
"","1504","DataDrivenTesting","Data Driven Testing Using CSV","Sat Dec 21 15:48:54 IST 2024","passed","Sat Dec 21 15:48:56 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","DataDrivenTesting"
"","3922","DataDrivenTestingUsingJson","Data Driven Testing Using JSON","Sat Dec 21 15:49:17 IST 2024","passed","Sat Dec 21 15:49:21 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","DataDrivenTestingUsingJson"
"end to end testing","11483","end to end api testing","Allure End to End API Testing","Sat Dec 21 20:57:11 IST 2024","passed","Sat Dec 21 20:57:23 IST 2024","com.testautomation.apitesting.tests.AllureReportGeneration","API Tests","com.testautomation.apitesting.tests.AllureReportGeneration","e2eAPIRequest"
"","11286","e2eAPIRequest","Suite","Sat Dec 21 15:55:19 IST 2024","passed","Sat Dec 21 15:55:30 IST 2024","com.testautomation.apitesting.tests.EndToEndAPITest","Test","com.testautomation.apitesting.tests.EndToEndAPITest","e2eAPIRequest"
"","4545","DataDrivenTesting","Data Driven Testing Using Excel","Sat Dec 21 15:49:04 IST 2024","passed","Sat Dec 21 15:49:09 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingExcelFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingExcelFile","DataDrivenTesting"
"","4080","DataDrivenTesting","Data Driven Testing Using CSV","Sat Dec 21 15:48:49 IST 2024","passed","Sat Dec 21 15:48:53 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingCSVFile","DataDrivenTesting"
"","1327","DataDrivenTestingUsingJson","Data Driven Testing Using JSON","Sat Dec 21 15:49:21 IST 2024","passed","Sat Dec 21 15:49:22 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","DataDrivenTestingUsingJson"
"end to end testing","2683","e2eAPITest2","Allure End to End API Testing","Sat Dec 21 20:57:23 IST 2024","passed","Sat Dec 21 20:57:26 IST 2024","com.testautomation.apitesting.tests.AllureReportGeneration","API Tests","com.testautomation.apitesting.tests.AllureReportGeneration","e2eAPITest2"
"","5463","postAPIRequest","POST API Request using POJO","Sat Dec 21 15:50:04 IST 2024","passed","Sat Dec 21 15:50:10 IST 2024","com.testautomation.apitesting.tests.PostAPIRequestUsingFile","Test","com.testautomation.apitesting.tests.PostAPIRequestUsingFile","postAPIRequest"
"","6799","createBooking","POST API Request using POJO","Sat Dec 21 15:51:30 IST 2024","passed","Sat Dec 21 15:51:37 IST 2024","com.testautomation.apitesting.tests.PostAPIRequestUsingJSONObject","Test","com.testautomation.apitesting.tests.PostAPIRequestUsingJSONObject","createBooking"
"","7492","postAPIRequest","POST API Request using POJO","Sat Dec 21 15:51:49 IST 2024","passed","Sat Dec 21 15:51:56 IST 2024","com.testautomation.apitesting.tests.PostAPIRequestUsingPojos","Test","com.testautomation.apitesting.tests.PostAPIRequestUsingPojos","postAPIRequest"
"","6085","postAPIRequest","POST API Request using POJO","Sat Dec 21 15:52:05 IST 2024","passed","Sat Dec 21 15:52:11 IST 2024","com.testautomation.apitesting.tests.PostAPIRequestUsingUUID","Test","com.testautomation.apitesting.tests.PostAPIRequestUsingUUID","postAPIRequest"
"","1308","DataDrivenTestingUsingJson","Data Driven Testing Using JSON","Sat Dec 21 15:49:22 IST 2024","passed","Sat Dec 21 15:49:24 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingJsonFile","DataDrivenTestingUsingJson"
"","10946","e2eAPIRequest","Extent report - End to End API Test","Sat Dec 21 20:50:24 IST 2024","passed","Sat Dec 21 20:50:35 IST 2024","com.testautomation.apitesting.tests.CreateAPIRequestDynamically","API Tests","com.testautomation.apitesting.tests.CreateAPIRequestDynamically","e2eAPIRequest"
"","1356","DataDrivenTesting","Data Driven Testing Using Excel","Sat Dec 21 15:49:09 IST 2024","passed","Sat Dec 21 15:49:10 IST 2024","com.testautomation.apitesting.tests.DataDrivenTestingUsingExcelFile","Test","com.testautomation.apitesting.tests.DataDrivenTestingUsingExcelFile","DataDrivenTesting"
